1;Sarrera nagusia;1;1
2;Harrera pasilloak;1;1
3;Igerilekuko eskailerak (Harmailak);1;2
4;Igerilekuko eskailerak (Hall);1;2
5;Pasilloa;1;3
6;A Aldagela;1;3
7;Eskailerak tenisera;1;4
8;Igogailua tenisera;1;4
9;Sarbidea, eskailerak eta belargunea;2;5
10;Takilla, zaborgunea eta markagailua;2;5
11;Aldagela zaharrak orokorreak;2;6
12;Aldagela zaharra 6;2;6
13;Aldagela berriak orokorrean;2;7
14;Fisio gela;2;7
15;Taberna orokorrean;2;8
16;Sarrera;2;8
17;Harrera;1;1
18;Langileen aldagela;1;1
19;Bulegoen pasilloa;1;1
20;SAI gela;1;1
21;Garbitzaileen biltegia;1;1
22;Office;1;1
23;Bulegoa eta bilera gela txikia;1;1
24;Bilera gela handia;1;1
25;Mantenu gela;1;1
26;Gela teknikoa;1;1
27;Ekintxa Gidatuen pasilloa;1;1
28;Presio Altuko Makina Gela;1;1
29;Ekintza gidatuen Gela 3 (Aldatz);1;1
30;Ekintza gidatuen Gela 2 (Ziburu);1;1
31;Ekintza gidatuen Gela 1 (Gerriko);1;1
32;Gimnasioa (Bizittu);1;1
33;Nesken aldagela;1;1
34;Mutilen aldagela;1;1
35;Boulder pasilloa;1;1
36;Rokodromoa;1;1
37;Boulder 1;1;1
38;Boulder 2;1;1
39;Squash;1;1
40;Emakumeen aldagelak;1;2
41;Mutilen aldagela;1;2
42;Aldagela mixtoa;1;2
43;komunak;1;2
44;Sorosleen aldagelak;1;2
45;Igerilekuko biltegia;1;2
46;Komun egokitua;1;2
47;Sorosleen lantokia;1;2
48;Igerileku handia;1;2
49;Igerileku txikia;1;2
50;Igerilekuko komunak;1;2
51;Sauna;1;2
52;Igerilekura sartzeko pasilloa;1;2
53;Terraza;1;2
54;Zelaia;1;2
55;Zelaitik igerilekurako pasilloak;1;2
56;Solariuma;1;2
57;B Aldagela;1;3
58;C Adagela;1;3
59;E1 Aldagela;1;3
60;E2 Aldagela;1;3
61;Mutilen komuna;1;3
62;Nesken komuna;1;3
63;D1;1;3
64;D2;1;3
65;Garbiketa gela;1;3
66;Igogailua kantxa urdiñeko harmailetara;1;4
67;Eskailerak kantxa urdiñeko harmailetara;1;4
68;Igogailua Fitbike;1;4
69;Eskailerak Fitbike;1;4
70;Eskailerak frontoira;1;4
71;Tenis berria;1;4
72;Tenis zaharra;1;4
73;Fitbike;1;4
74;Pilates;1;4
75;Rooftop;1;4
76;Kantxa berdea;1;9
77;Korredera 1;1;9
78;Korredera 2;1;9
79;Korredera 3;1;9
80;Korredera 4;1;9
81;Korredera 5;1;9
82;Korredera 6;1;9
83;Medikuntza gela;1;10
84;Pasilloa;1;10
85;1 Aldagela;1;10
86;2 Aldagela;1;10
87;3 Aldagela;1;10
88;4 Aldagela;1;10
89;Aireztapen makinen gela;1;10
90;Komunak;1;10
91;5 Aldagela;1;10
92;6 Aldagela;1;10
93;Eskailerak Frontoira;1;10
94;Tunela;1;10
95;Pasilloa;1;12
96;Pista;1;12
97;Harmailak;1;12
98;Biltegia;1;12
99;Pista;1;13
100;Biltegia;1;13
101;Arketak eta pasilloak;2;5
102;Aterpea;2;5
103;Sare perimetrala;2;5
104;Zelaiko argiak;2;5
105;Bankiloak (bertakoak eta kanpokoak);2;5
106;Harmailak;2;5
107;Zelaia (belarra, kanaloiak, txapak, porteriak, ureztatzea...);2;5
108;Pinudia;2;5
109;Natra alderako zelaia;2;5
110;Aldagela zaharra 5;2;6
111;Aldagela zaharra 4;2;6
112;Aldagela zaharra 3;2;6
113;Aldagela zaharra 2;2;6
114;Aldagela zaharra 1;2;6
115;Aldagela zaharreko epailea;2;6
116;Nesken komuna;2;6
117;Materialaren biltegia;2;6
118;Mutilen komuna;2;6
119;Elektrizitate eta garbiketa gela;2;6
120;Ureztatze sistemaren gela;2;6
121;Aldagela berrien elektrizitate kuadroa;2;6
122;Aldagela berria kanpokoak;2;7
123;Aldagela berrien elektrizitate kuadroa;2;7
124;Garbigailu gela;2;7
125;Aldagela berrietako komunak;2;7
126;Aldagela berrietako epailea;2;7
127;Aldagela berria bertakoak;2;7
128;Bulego bilera;2;7
129;Bulego megafonia;2;7
130;Sukaldea;2;8
131;Barra;2;8